Date,Open,High,Low,Close,Adj Close,Volume
2000-06-28,30000000.000000,30000000.000000,30000000.000000,30000000.000000,30000000.000000,0
2000-06-29,30000000.000000,32500000.000000,30000000.000000,30000000.000000,30000000.000000,0
2000-06-30,30000000.000000,35000000.000000,30000000.000000,35000000.000000,35000000.000000,0
2000-07-03,32500000.000000,32500000.000000,31500000.000000,32500000.000000,32500000.000000,0
2000-07-04,31500000.000000,31500000.000000,29000000.000000,30500000.000000,30500000.000000,0
2000-07-05,29500000.000000,29500000.000000,27500000.000000,29000000.000000,29000000.000000,0
2000-07-06,27500000.000000,29000000.000000,26000000.000000,26000000.000000,26000000.000000,0
2000-07-07,25500000.000000,26000000.000000,25000000.000000,25000000.000000,25000000.000000,0
2000-07-10,25000000.000000,25000000.000000,23000000.000000,23500000.000000,23500000.000000,0
2000-07-11,23500000.000000,24000000.000000,23500000.000000,24000000.000000,24000000.000000,0
2000-07-12,23500000.000000,24000000.000000,23000000.000000,23500000.000000,23500000.000000,0
2000-07-13,23500000.000000,24000000.000000,23000000.000000,23000000.000000,23000000.000000,0
2000-07-14,23000000.000000,25000000.000000,23000000.000000,25000000.000000,25000000.000000,0
2000-07-17,24500000.000000,24500000.000000,24500000.000000,24500000.000000,24500000.000000,0
2000-07-18,24000000.000000,24000000.000000,24000000.000000,24000000.000000,24000000.000000,0
2000-07-19,24000000.000000,24000000.000000,24000000.000000,24000000.000000,24000000.000000,0
2000-07-20,24000000.000000,24000000.000000,23500000.000000,24000000.000000,24000000.000000,0
2000-07-21,23500000.000000,23500000.000000,23000000.000000,23500000.000000,23500000.000000,0
2000-07-24,23500000.000000,23500000.000000,22000000.000000,22500000.000000,22500000.000000,0
2000-07-25,22500000.000000,22500000.000000,22500000.000000,22500000.000000,22500000.000000,0
2000-07-26,22000000.000000,22500000.000000,22000000.000000,22500000.000000,22500000.000000,0
2000-07-27,22500000.000000,22500000.000000,22000000.000000,22500000.000000,22500000.000000,0
2000-07-28,22500000.000000,23500000.000000,21500000.000000,23500000.000000,23500000.000000,0
2000-07-31,23500000.000000,25500000.000000,23000000.000000,25500000.000000,25500000.000000,0
2000-08-01,25000000.000000,25000000.000000,24000000.000000,24000000.000000,24000000.000000,0
2000-08-02,24000000.000000,24000000.000000,22500000.000000,23500000.000000,23500000.000000,0
2000-08-03,23000000.000000,23500000.000000,23000000.000000,23500000.000000,23500000.000000,0
2000-08-04,23500000.000000,23500000.000000,23000000.000000,23500000.000000,23500000.000000,0
2000-08-07,23000000.000000,23000000.000000,23000000.000000,23000000.000000,23000000.000000,0
2000-08-08,23000000.000000,23000000.000000,23000000.000000,23000000.000000,23000000.000000,0
2000-08-09,23000000.000000,23000000.000000,23000000.000000,23000000.000000,23000000.000000,0
2000-08-10,23000000.000000,25000000.000000,23000000.000000,24500000.000000,24500000.000000,0
2000-08-11,24500000.000000,25500000.000000,24500000.000000,25500000.000000,25500000.000000,0
2000-08-14,24500000.000000,26000000.000000,24500000.000000,26000000.000000,26000000.000000,0
2000-08-15,25500000.000000,26000000.000000,25000000.000000,26000000.000000,26000000.000000,0
2000-08-16,25000000.000000,25000000.000000,25000000.000000,25000000.000000,25000000.000000,0
2000-08-17,25000000.000000,25000000.000000,25000000.000000,25000000.000000,25000000.000000,0
2000-08-18,25000000.000000,25000000.000000,24500000.000000,24500000.000000,24500000.000000,0
2000-08-21,25000000.000000,25000000.000000,24500000.000000,25000000.000000,25000000.000000,0
2000-08-22,25000000.000000,25500000.000000,25000000.000000,25000000.000000,25000000.000000,0
2000-08-23,25000000.000000,25000000.000000,25000000.000000,25000000.000000,25000000.000000,0
2000-08-24,24500000.000000,24500000.000000,24000000.000000,24000000.000000,24000000.000000,0
2000-08-25,24000000.000000,24500000.000000,24000000.000000,24500000.000000,24500000.000000,0
2000-08-28,24500000.000000,24500000.000000,24500000.000000,24500000.000000,24500000.000000,0
2000-08-29,24000000.000000,24000000.000000,24000000.000000,24000000.000000,24000000.000000,0
2000-08-30,24000000.000000,24000000.000000,23500000.000000,23500000.000000,23500000.000000,0
2000-08-31,24000000.000000,24000000.000000,23500000.000000,23500000.000000,23500000.000000,0
2000-09-01,24000000.000000,24000000.000000,23500000.000000,23500000.000000,23500000.000000,0
2000-09-04,23500000.000000,23500000.000000,23500000.000000,23500000.000000,23500000.000000,0
2000-09-05,23500000.000000,23500000.000000,23500000.000000,23500000.000000,23500000.000000,0
2000-09-06,23500000.000000,24000000.000000,23500000.000000,24000000.000000,24000000.000000,0
2000-09-07,24000000.000000,24000000.000000,24000000.000000,24000000.000000,24000000.000000,0
2000-09-08,24500000.000000,25000000.000000,24000000.000000,25000000.000000,25000000.000000,0
2000-09-11,25000000.000000,25000000.000000,24500000.000000,25000000.000000,25000000.000000,0
2000-09-12,24500000.000000,25000000.000000,24000000.000000,24500000.000000,24500000.000000,0
2000-09-13,24000000.000000,24000000.000000,24000000.000000,24000000.000000,24000000.000000,0
2000-09-14,24000000.000000,24000000.000000,24000000.000000,24000000.000000,24000000.000000,0
2000-09-15,24000000.000000,24000000.000000,24000000.000000,24000000.000000,24000000.000000,0
2000-09-18,24000000.000000,24000000.000000,22500000.000000,23000000.000000,23000000.000000,0
2000-09-19,23000000.000000,24000000.000000,23000000.000000,24000000.000000,24000000.000000,0
2000-09-20,23500000.000000,24000000.000000,23500000.000000,24000000.000000,24000000.000000,0
2000-09-21,23500000.000000,24000000.000000,23500000.000000,24000000.000000,24000000.000000,0
2000-09-22,23500000.000000,23500000.000000,22500000.000000,23500000.000000,23500000.000000,0
2000-09-25,23500000.000000,24500000.000000,23500000.000000,24500000.000000,24500000.000000,0
2000-09-26,24500000.000000,25000000.000000,24000000.000000,24500000.000000,24500000.000000,0
2000-09-27,24000000.000000,25000000.000000,24000000.000000,25000000.000000,25000000.000000,0
