Date,Open,High,Low,Close,Adj Close,Volume
2021-12-08,189.000000,200.000000,168.000000,168.000000,168.000000,103737700
2021-12-09,168.000000,168.000000,157.000000,157.000000,157.000000,9522000
2021-12-10,147.000000,155.000000,147.000000,147.000000,147.000000,45076600
2021-12-13,148.000000,151.000000,141.000000,144.000000,144.000000,8115300
2021-12-14,145.000000,146.000000,138.000000,141.000000,141.000000,7622400
2021-12-15,141.000000,152.000000,141.000000,150.000000,150.000000,15414100
2021-12-16,150.000000,153.000000,144.000000,146.000000,146.000000,6908900
2021-12-17,146.000000,148.000000,141.000000,141.000000,141.000000,2611000
2021-12-20,141.000000,144.000000,135.000000,138.000000,138.000000,2754900
2021-12-21,138.000000,139.000000,129.000000,129.000000,129.000000,6323500
2021-12-22,131.000000,132.000000,122.000000,129.000000,129.000000,2455600
2021-12-23,128.000000,130.000000,125.000000,129.000000,129.000000,2471400
2021-12-24,130.000000,130.000000,120.000000,121.000000,121.000000,6766500
2021-12-27,123.000000,123.000000,117.000000,121.000000,121.000000,2537900
2021-12-28,121.000000,128.000000,115.000000,120.000000,120.000000,6652000
2021-12-29,121.000000,138.000000,120.000000,135.000000,135.000000,23598700
2021-12-30,134.000000,135.000000,126.000000,126.000000,126.000000,4792200
2022-01-03,120.000000,126.000000,119.000000,126.000000,126.000000,5072000
2022-01-04,119.000000,126.000000,119.000000,123.000000,123.000000,1471700
2022-01-05,123.000000,127.000000,116.000000,123.000000,123.000000,6092800
2022-01-06,123.000000,123.000000,115.000000,122.000000,122.000000,4885700
2022-01-07,122.000000,126.000000,116.000000,124.000000,124.000000,4703700
2022-01-10,124.000000,128.000000,121.000000,126.000000,126.000000,2948400
2022-01-11,126.000000,127.000000,120.000000,121.000000,121.000000,2564000
2022-01-12,121.000000,130.000000,121.000000,124.000000,124.000000,8850800
2022-01-13,125.000000,125.000000,119.000000,121.000000,121.000000,2940300
2022-01-14,121.000000,134.000000,117.000000,128.000000,128.000000,21489000
2022-01-17,129.000000,130.000000,121.000000,123.000000,123.000000,5170200
2022-01-18,123.000000,125.000000,118.000000,121.000000,121.000000,5077300
2022-01-19,122.000000,139.000000,120.000000,137.000000,137.000000,41011000
2022-01-20,138.000000,143.000000,128.000000,128.000000,128.000000,60842400
2022-01-21,128.000000,139.000000,121.000000,123.000000,123.000000,65590300
2022-01-24,122.000000,126.000000,120.000000,120.000000,120.000000,4784600
2022-01-25,121.000000,123.000000,117.000000,118.000000,118.000000,3786400
2022-01-26,115.000000,135.000000,112.000000,132.000000,132.000000,64833800
2022-01-27,133.000000,143.000000,123.000000,123.000000,123.000000,80382100
2022-01-28,123.000000,123.000000,115.000000,117.000000,117.000000,7417500
2022-01-31,118.000000,123.000000,117.000000,117.000000,117.000000,7211900
2022-02-02,116.000000,120.000000,116.000000,120.000000,120.000000,2971800
2022-02-03,120.000000,122.000000,117.000000,121.000000,121.000000,3567100
2022-02-04,117.000000,121.000000,117.000000,121.000000,121.000000,1523400
2022-02-07,121.000000,129.000000,119.000000,128.000000,128.000000,22587700
2022-02-08,129.000000,129.000000,120.000000,120.000000,120.000000,20151700
2022-02-09,120.000000,122.000000,117.000000,119.000000,119.000000,3829300
2022-02-10,115.000000,121.000000,115.000000,119.000000,119.000000,1939200
